31	0.790224	0.359272	-0.496457	0.136626	-0.893017	-0.428781	-0.597394	0.271004	-0.754770	0.123905	-0.088858	2.734257	1.000000	1.931010	1.532819
30	0.790473	0.195929	-0.580313	0.135315	-0.979909	-0.146523	-0.597362	0.037298	-0.801104	0.062523	0.191759	2.712159	1.000000	4.940824	1.638683
29	0.779882	-0.623116	0.059245	0.136857	0.262115	0.955283	-0.610781	-0.736900	0.289696	0.037965	0.207176	2.674969	1.000000	2.729927	2.668980
28	0.765728	-0.193837	0.613260	0.146490	0.981005	0.127163	-0.626260	-0.007536	0.779578	0.054363	0.257191	2.698532	1.000000	5.605340	1.579761
27	0.744659	0.010061	-0.667370	0.147265	-0.977721	0.149579	-0.650997	-0.209666	-0.729550	0.138273	0.202669	2.768845	1.000000	5.437467	1.999421
26	0.723934	-0.044273	-0.688447	0.154587	-0.962151	0.224430	-0.672326	-0.268897	-0.689690	0.139581	0.192457	2.748353	1.000000	5.386614	2.002654
26	0.734431	-0.532201	-0.421157	0.138915	-0.489531	0.860849	-0.664314	-0.690740	-0.285596	0.241656	-0.468280	2.713062	1.000000	2.475183	0.493417
25	0.697889	-0.215170	0.683120	0.161983	0.976509	0.142096	-0.697648	0.011487	0.716349	0.138155	0.247047	2.742196	1.000000	5.290890	2.004739
25	0.701567	-0.448180	-0.554020	0.154876	-0.662977	0.732444	-0.695570	-0.599663	-0.395711	0.229631	-0.565173	2.647943	1.000000	2.349019	0.948853
24	0.667278	0.010646	-0.744732	0.166653	-0.976680	0.135359	-0.725924	-0.214434	-0.653492	0.166896	0.217781	2.741564	1.000000	5.551451	1.972572
24	0.694232	-0.644657	-0.320093	0.140802	-0.314494	0.938759	-0.705845	-0.696786	-0.127563	0.260562	-0.595126	2.644814	1.000000	2.217159	1.014958
23	0.635665	0.769964	0.055538	0.179270	-0.077259	-0.980762	-0.750861	0.633392	-0.187143	0.161100	0.232428	2.718929	1.000000	4.025564	2.775731
23	0.649691	-0.684514	-0.330668	0.135408	-0.323817	0.936380	-0.748041	-0.653133	-0.117693	0.283164	-0.552494	2.643624	1.000000	2.636456	0.866683
22	0.606951	0.003756	-0.794730	0.183774	-0.973550	0.135751	-0.773199	-0.228445	-0.591587	0.193784	0.203260	2.718108	1.000000	5.403890	2.058172
22	0.613908	0.397805	-0.681812	0.169549	-0.910026	-0.378294	-0.770954	0.116637	-0.626120	0.287984	-0.599465	2.603823	1.000000	2.125236	1.526348
21	0.574931	0.803044	0.156760	0.194009	0.052327	-0.979603	-0.794868	0.593617	-0.125713	0.176979	0.268378	2.705288	1.000000	4.006050	2.847690
21	0.586897	-0.023908	0.809308	0.181266	0.978069	-0.102565	-0.789110	0.206904	0.578360	0.250231	-0.600656	2.554845	1.000000	3.177461	1.504725
20	0.534378	0.041949	-0.844204	0.197407	-0.977340	0.076394	-0.821870	-0.207475	-0.530550	0.206873	0.236985	2.693780	1.000000	5.688158	2.058335
20	0.546336	0.400191	-0.735774	0.180284	-0.914064	-0.363297	-0.817933	0.065834	-0.571534	0.298600	-0.616505	2.552521	1.000000	2.296633	1.780149
19	0.499081	0.832678	0.239927	0.200830	0.158193	-0.966769	-0.842962	0.530681	-0.088275	0.319416	-0.622053	2.532324	1.000000	2.998676	1.333094
18	0.442730	0.015900	0.896514	0.215063	0.968774	-0.123388	-0.870481	0.247435	0.425486	0.198681	0.228082	2.639366	1.000000	5.555055	2.106408
18	0.446112	-0.003414	0.894971	0.204522	0.973921	-0.098233	-0.871295	0.226864	0.435176	0.297002	-0.620227	2.484349	1.000000	3.317509	1.378761
